CASENAME,Depth,Area,RESTHICK,PRESS,TEMP,OILGRAV,SOLGOR,Visco,Psat,Bo,FLUIDTYPE,WATSAL,Aquifer,POROSITY,NTG,PERM,CONWATER,PERM.AQUIFER,OOIP,RF,RFmax,Np,Nw,Ng,Nwi,GOR,SWx,RELPERM.RESSAT.Kro,RELPERM.ENDPOINT.Kro,RELPERM.ENDPOINT.Krw,RELPERM.EXPON.Kro,RELPERM.EXPON.Krw,PROD.PI,WINJ.PI,PROD_TIME,Field.OILRATE,Field.WATRATE,Field.GASRATE,Field.INJWATRATE,Field.INJGASRATE,NumPROD,NumWINJ,BODP_well,RECOVERY,acuifero
b5a09a9e,11340,26.3,169,5660,244.0,35.4,300.0,0.7,1214.0,1.1193,,62233.24099722996,Very Strong,0.278,0.7,790,0.161,690.0,1030,35.48183100248163,44.82796994308241,156.9115,407.87602499999986,257220.57625,292.9464875000001,224.0,0.4589789303079408,0.25912882096070033,0.8457892857142872,0.265,2.63,2.2025450000000264,5.7838827838827855,8.780780780780672,33.16212499999998,76000.0,36100.0,0.0,40683.16690442231,2357.9457364341033,9.0,0.0,47277.35837133369,,4
0d6785f2,7450,19.0,324,6880,206.0,41.7,2060.0,0.3,6271.0,1.4622,,87700.0,Weak,0.125,0.7,170,0.299,423.3383010432194,470,44.90822797916795,56.69679446572479,156.9115,407.87602499999986,257220.57625,292.9464875000001,2711.0,0.4589789303079408,0.2198,0.753,0.573,3.5105211267605356,2.2025450000000264,5.7838827838827855,8.780780780780672,33.16212499999998,48000.0,48100.0,300.0,40683.16690442231,2357.9457364341033,9.0,9.0,51157.889022049494,,5
84488003,3570,20.7,110,2610,123.0,43.0,630.0,0.9,1930.0,1.2016,,88000.0,None,0.171,0.53,70,0.312,60.0,190,30.772230965748566,37.87670270929125,156.9115,407.87602499999986,257220.57625,292.9464875000001,474.0,0.4589789303079408,0.27,0.9940000000000001,0.3474,3.5105211267605356,2.2025450000000264,0.0,8.780780780780672,33.16212499999998,18000.0,20900.0,0.0,40683.16690442231,2357.9457364341033,42.0,36.0,10833.92092065021,,0
04367290,8550,11.9,226,3900,227.0,41.3,1270.0,0.2,3559.0,1.5089,,23000.0,Medium,0.193,0.63,210,0.17300000000000001,190.0,400,31.17876367966942,41.43654815544768,156.9115,407.87602499999986,257220.57625,292.9464875000001,1846.0,0.4589789303079408,0.2,0.79,0.2339,3.5105211267605356,2.503,2.0,8.780780780780672,33.16212499999998,30000.0,0.0,100.0,40683.16690442231,2357.9457364341033,12.0,3.0,36980.3084986168,,1
9cf169d5,11890,18.7,204,5960,251.0,37.2,570.0,0.4,2139.0,1.216,,3500.0,Strong,0.27699999999999997,0.52,680,0.154,610.0,680,36.1638438165993,46.30249747881518,156.9115,407.87602499999986,257220.57625,292.9464875000001,458.0,0.4589789303079408,0.2056,0.95,0.3,3.5105211267605356,2.2025450000000264,5.7838827838827855,8.780780780780672,33.16212499999998,60000.0,32100.0,0.0,40683.16690442231,2357.9457364341033,5.0,0.0,49129.34555905403,,3
560e5d37,8720,16.1,189,4870,199.0,18.1,220.0,38.24694148936168,1588.1898395721917,1.0831,,69600.0,Weak,0.195,0.65,220,0.32899999999999996,160.0,370,26.66881352177253,33.78401228998872,156.9115,407.87602499999986,257220.57625,292.9464875000001,163.0,0.4589789303079408,0.25912882096070033,0.8457892857142872,0.24,3.5105211267605356,2.2025450000000264,2.0,8.780780780780672,33.16212499999998,35000.0,39200.0,0.0,40683.16690442231,2357.9457364341033,8.0,4.0,49129.34555905403,,5
47e64383,9290,12.4,113,3610,246.0,28.24155019059721,100.0,6.2,948.0,1.0652,,62233.24099722996,Very Strong,0.192,0.8,2350,0.272,1480.0,200,35.18377316649882,39.95273941869936,156.9115,407.87602499999986,257220.57625,292.9464875000001,77.0,0.4589789303079408,0.25912882096070033,0.919,0.16,3.5105211267605356,2.9989999999999997,23.0,8.780780780780672,33.16212499999998,21000.0,159000.0,0.0,40683.16690442231,2357.9457364341033,4.0,0.0,126980.96576238461,,4
760e591e,6910,38.1,103,2490,211.0,20.4,90.0,5.9,1588.1898395721917,1.0547,,50800.0,Very Strong,0.226,0.57,1610,0.307,1180.0,510,20.137589639760442,27.181379255510432,156.9115,407.87602499999986,257220.57625,292.9464875000001,69.0,0.4589789303079408,0.22699999999999998,0.8059999999999999,0.38,3.5105211267605356,2.2025450000000264,6.0,10.0,33.16212499999998,39000.0,31700.0,25.67164179104483,40683.16690442231,2357.9457364341033,9.0,0.0,54349.694739037666,,4
79565372,1580,15.1,56,1480,95.0,22.5,200.0,27.3,1388.0,1.055,,121200.0,,0.131,0.76,50,0.44,30.0,70,15.78851633756576,20.686136633011245,156.9115,407.87602499999986,257220.57625,292.9464875000001,150.0,0.4589789303079408,0.33,0.9111,0.2128,3.5105211267605356,2.2025450000000264,0.0,8.780780780780672,33.16212499999998,6000.0,12600.0,0.0,40683.16690442231,2357.9457364341033,41.0,36.0,10340.680562868634,,0
2969282f,6950,23.7,229,3660,192.0,39.6,840.0,0.3,3329.0,1.43,,70600.0,Weak,0.157,0.58,150,0.265,110.0,480,35.58715846957267,44.172528107158215,156.9115,407.87602499999986,257220.57625,292.9464875000001,10289.0,0.4589789303079408,0.24,0.8457892857142872,0.3286,3.5105211267605356,2.2025450000000264,1.0,8.780780780780672,33.16212499999998,52000.0,17000.0,100.0,40683.16690442231,2357.9457364341033,18.0,15.0,23486.65442679485,,5
91ae3743,3330,15.5,283,1820,155.0,41.1,350.0,0.9,1140.0,1.1137,,58900.0,,0.156,0.72,110,0.26,423.3383010432194,410,28.273000204367143,33.8020225266598,156.9115,407.87602499999986,257220.57625,292.9464875000001,262.0,0.4589789303079408,0.25912882096070033,0.8457892857142872,0.31,3.5105211267605356,2.234,5.7838827838827855,3.0,33.16212499999998,47000.0,46400.0,0.0,40683.16690442231,2357.9457364341033,21.0,12.0,20914.86305332011,,0
d27e0650,10500,17.1,155,5190,213.0,30.1,400.0,38.24694148936168,1588.1898395721917,1.15,,36500.0,Strong,0.243,0.69,450,0.23,410.0,490,31.165459602059077,39.702218911905824,156.9115,407.87602499999986,257220.57625,292.9464875000001,296.0,0.4589789303079408,0.226,0.92,0.48,3.5105211267605356,2.2025450000000264,3.0,5.0,33.16212499999998,37000.0,25000.0,0.0,40683.16690442231,2357.9457364341033,8.0,0.0,53743.377092306764,,3
dd260c3c,2400,9.2,316,2840,121.0,38.6,680.0,0.9,2589.0,1.17,,109200.0,None,0.127,0.51,50,0.37200000000000005,40.0,150,27.111817027061942,35.118403244965734,156.9115,407.87602499999986,257220.57625,292.9464875000001,73956.0,0.4589789303079408,0.2685,0.8390000000000001,0.4,3.5105211267605356,2.2025450000000264,1.0,1.0,33.16212499999998,17000.0,0.0,0.0,40683.16690442231,2357.9457364341033,26.0,27.0,18155.0566502305,,0
e3961ccd,1830,28.8,164,4000,103.0,42.8,1090.0,0.8,3642.0,1.21,,62233.24099722996,,0.10800000000000001,0.78,10,0.384,10.0,290,36.8085857183075,44.103377028074696,156.9115,407.87602499999986,257220.57625,292.9464875000001,6185.0,0.4589789303079408,0.3147,0.8457892857142872,0.2333,3.5105211267605356,2.2025450000000264,0.0,0.0,33.16212499999998,28000.0,96900.0,25.67164179104483,40683.16690442231,2357.9457364341033,271.0,9.332857142857154,1582.3813989880277,,0
ecce16a1,7560,9.4,363,3860,210.0,19.6,160.0,9.2,1275.0,1.07,,65700.0,Strong,0.2,0.65,350,0.327,250.0,370,22.19380268015874,28.862628105632812,156.9115,407.87602499999986,257220.57625,292.9464875000001,116.0,0.4589789303079408,0.2669,0.8457892857142872,0.4986,3.5105211267605356,2.2025450000000264,5.7838827838827855,8.780780780780672,33.16212499999998,41000.0,33900.0,0.0,40683.16690442231,2357.9457364341033,6.0,0.0,49129.34555905403,,3
a30dddae,9430,7.8,173,4670,200.0,22.7,200.0,4.5,1588.1898395721917,1.08,,49100.0,Strong,0.22,0.7,540,0.28300000000000003,430.0,170,27.971495099454422,34.450195490704616,156.9115,407.87602499999986,257220.57625,292.9464875000001,148.0,0.4589789303079408,0.25912882096070033,0.81,0.145,3.5105211267605356,2.2025450000000264,5.7838827838827855,8.780780780780672,33.16212499999998,17000.0,50100.0,0.0,40683.16690442231,2357.9457364341033,5.0,0.0,49129.34555905403,,3
a4a1d898,6830,12.5,313,3940,173.0,34.0,347.54914809960695,2.4,1588.1898395721917,1.053,,36400.0,,0.24600000000000002,0.64,220,0.23199999999999998,190.0,620,24.21271120046867,32.81156503996489,156.9115,407.87602499999986,257220.57625,292.9464875000001,106.0,0.4589789303079408,0.25912882096070033,0.8457892857142872,0.5124,3.5105211267605356,2.2025450000000264,4.0,8.780780780780672,33.16212499999998,72000.0,2100.0,0.0,40683.16690442231,2357.9457364341033,8.0,0.0,54356.84462318823,,0
ac55d7c2,5910,16.5,199,2600,169.0,35.8,347.54914809960695,1.6,1588.1898395721917,1.04,,23700.0,Strong,0.27899999999999997,0.58,740,0.207,630.0,600,27.35780312355549,35.38972112358604,156.9115,407.87602499999986,257220.57625,292.9464875000001,63.0,0.4589789303079408,0.25912882096070033,0.9889,0.36,3.5105211267605356,2.2025450000000264,7.0,8.780780780780672,33.16212499999998,70000.0,25200.0,0.0,40683.16690442231,2357.9457364341033,7.0,0.0,66725.01036040984,,3
ba11cc40,4030,20.0,432,2450,140.0,17.0,40.0,106.5,361.0,1.0270000000000001,,72200.0,Medium,0.212,0.71,330,0.36,230.0,1290,21.181765428844855,23.149145335341576,156.9115,407.87602499999986,257220.57625,292.9464875000001,33.0,0.4589789303079408,0.25912882096070033,0.77,0.33,3.5105211267605356,2.2025450000000264,8.0,8.780780780780672,33.16212499999998,96400.0,191500.0,0.0,40683.16690442231,2357.9457364341033,14.0,9.332857142857154,32481.932258306606,,1
1492c8ae,8470,5.9,128,3900,227.0,19.0,70.0,10.9,653.0,1.05,,33700.0,Very Strong,0.21899999999999997,0.55,1180,0.27,780.0,100,26.780692736175645,32.27607194232451,156.9115,407.87602499999986,257220.57625,292.9464875000001,53.0,0.4589789303079408,0.25912882096070033,0.8457892857142872,0.34043012912482085,3.5105211267605356,2.2025450000000264,8.0,9.0,33.16212499999998,11000.0,78800.0,0.0,40683.16690442231,2357.9457364341033,4.0,0.0,124706.07321988644,,4
133ecd98,9920,14.3,232,4740,226.0,24.6,70.0,38.24694148936168,441.0,1.051,,9600.0,Very Strong,0.24,0.79,1790,0.188,1140.0,630,39.57001540062042,42.04169092483692,156.9115,407.87602499999986,257220.57625,292.9464875000001,3072.1133879781437,0.4589789303079408,0.25912882096070033,0.8457892857142872,0.45,3.5105211267605356,2.2025450000000264,5.7838827838827855,8.780780780780672,33.16212499999998,63000.0,262000.0,0.0,40683.16690442231,2357.9457364341033,4.0,0.0,127519.37224733266,,4
50eefc8b,3290,14.3,167,1570,143.0,27.2,190.0,5.1,1448.0,1.1261752223634045,,106000.0,Medium,0.128,0.51,140,0.40399999999999997,70.0,120,20.4033531425979,25.40388482538766,156.9115,407.87602499999986,257220.57625,292.9464875000001,188.0,0.4589789303079408,0.2782,0.8457892857142872,0.3672,3.5105211267605356,2.2,1.0,8.780780780780672,33.16212499999998,11000.0,18000.0,0.0,40683.16690442231,2357.9457364341033,17.0,8.0,49129.34555905403,,1
fe6df865,1540,10.5,106,1200,100.0,21.3,90.0,23.9,502.0,1.03,,107700.0,,0.14300000000000002,0.72,150,0.414,423.3383010432194,100,14.92905839496989,19.150719138291386,156.9115,407.87602499999986,257220.57625,292.9464875000001,68.0,0.4589789303079408,0.25912882096070033,0.9084,0.28,3.5105211267605356,2.2025450000000264,1.0,2.0,33.16212499999998,10000.0,23400.0,0.0,40683.16690442231,2357.9457364341033,17.0,9.0,49129.34555905403,,0
f9c1fd53,5500,16.4,177,3080,165.0,28.7,180.0,3.6,891.0,1.1261752223634045,,63700.0,Medium,0.198,0.61,210,0.302,160.0,400,22.198526328868716,29.08367302837052,156.9115,407.87602499999986,257220.57625,292.9464875000001,129.0,0.4589789303079408,0.268,0.65,0.5596,2.4,2.2025450000000264,5.7838827838827855,8.780780780780672,33.16212499999998,41000.0,3000.0,0.0,40683.16690442231,2357.9457364341033,17.0,0.0,28553.340538591143,,1
e829e3e7,9810,26.5,315,4760,221.0,18.8,90.0,9.7,772.0,1.054,,31400.0,Strong,0.258,0.79,1150,0.255,800.0,1550,29.135984483003735,33.213884778958864,156.9115,407.87602499999986,257220.57625,292.9464875000001,65.0,0.4589789303079408,0.25,0.8457892857142872,0.2017,3.5105211267605356,3.222,5.7838827838827855,8.780780780780672,33.16212499999998,139000.0,226800.0,25.67164179104483,40683.16690442231,2357.9457364341033,5.0,9.332857142857154,86214.47425272432,,3
e0ddecbd,1630,32.8,104,1290,133.0,24.3,130.0,12.5,1588.1898395721917,1.05,,116800.0,Medium,0.105,0.68,250,0.436,110.0,210,16.78989561539013,21.881822344623,156.9115,407.87602499999986,257220.57625,292.9464875000001,483.0,0.4589789303079408,0.25912882096070033,0.7008,0.17,3.5105211267605356,3.055,2.0,2.0,33.16212499999998,16000.0,300.0,25.67164179104483,40683.16690442231,2357.9457364341033,21.0,0.0,24556.996792436777,,1
e771e98b,6840,11.3,111,3510,183.0,15.4,20.0,69.2,152.0,1.03,,25100.0,Very Strong,0.262,0.67,1610,0.266,1000.0,240,23.89063913793124,29.142188244902314,156.9115,407.87602499999986,257220.57625,292.9464875000001,13.0,0.4589789303079408,0.25912882096070033,0.91,0.4353,3.3,2.2025450000000264,9.0,11.0,33.16212499999998,25000.0,103200.0,0.0,40683.16690442231,2357.9457364341033,5.0,1.0,49129.34555905403,,4
d699f316,7020,8.8,156,3010,205.0,45.1,900.0,0.3,2804.0,1.3548,,45300.0,,0.158,0.44,230,0.22399999999999998,180.0,90,31.564781347907445,40.55068425947535,156.9115,407.87602499999986,257220.57625,292.9464875000001,1556.0,0.4589789303079408,0.25912882096070033,0.8457892857142872,0.2,3.5105211267605356,2.2025450000000264,5.7838827838827855,8.780780780780672,33.16212499999998,10000.0,700.0,0.0,40683.16690442231,2357.9457364341033,6.0,0.0,49129.34555905403,,0
6106e616,4260,19.7,420,2520,139.0,31.9,160.0,3.8,764.0,1.054,,69500.0,Medium,0.18899999999999997,0.38,160,0.314,110.0,490,26.320861680504503,31.118490889890367,156.9115,407.87602499999986,257220.57625,292.9464875000001,122.0,0.4589789303079408,0.2746,0.841,0.5,3.5105211267605356,2.2025450000000264,2.0,8.780780780780672,33.16212499999998,55000.0,70100.0,0.0,40683.16690442231,2357.9457364341033,19.0,12.0,24033.546912625712,,1
9fba99a5,6340,19.9,380,3350,176.0,45.1,330.0,38.24694148936168,1141.0,1.11,,35800.0,Medium,0.221,0.56,190,0.21100000000000002,170.0,930,31.39183545179777,39.6998483600907,156.9115,407.87602499999986,257220.57625,292.9464875000001,267.0,0.4589789303079408,0.23600000000000002,0.8643,0.2,3.5105211267605356,2.2025450000000264,3.0,8.780780780780672,33.16212499999998,75000.0,0.0,0.0,40683.16690442231,2357.9457364341033,20.0,0.0,23735.276780720742,,1
810a8d7d,6010,19.7,315,3650,157.0,26.2,140.0,4.8,753.0,1.0529,,49200.0,Weak,0.183,0.52,200,0.27399999999999997,120.0,610,28.792717039480983,35.06659507735364,156.9115,407.87602499999986,257220.57625,292.9464875000001,104.0,0.4589789303079408,0.29,0.851,0.2067,3.5105211267605356,2.2025450000000264,4.0,8.780780780780672,33.16212499999998,75000.0,62700.0,0.0,40683.16690442231,2357.9457364341033,9.0,5.0,52733.08511609794,,5
277d86c9,4990,12.6,298,2840,165.0,31.6,240.0,2.6,1172.0,1.081,,70000.0,Medium,0.155,0.77,160,0.314,423.3383010432194,440,25.887647888633794,31.59778280764943,156.9115,407.87602499999986,257220.57625,292.9464875000001,180.0,0.4589789303079408,0.27699999999999997,0.8,0.327,3.5105211267605356,1.528,5.7838827838827855,8.780780780780672,33.16212499999998,46100.0,48700.0,0.0,40683.16690442231,2357.9457364341033,9.0,5.0,50372.47586505837,,1
077d82e0,2450,17.4,381,1500,139.0,44.9,340.0,0.7,1363.0,1.1462,,66500.0,Medium,0.125,0.72,110,0.267,423.3383010432194,700,34.23863773501715,38.159453468514805,156.9115,407.87602499999986,257220.57625,292.9464875000001,338.0,0.4589789303079408,0.25912882096070033,0.9912,0.46,3.5105211267605356,2.2025450000000264,2.0,8.780780780780672,33.16212499999998,55000.0,102300.0,0.0,40683.16690442231,2357.9457364341033,35.0,16.0,49129.34555905403,,1
00d187d6,4920,22.8,272,2120,165.0,13.8,110.0,38.1,1293.0,1.055,,99800.0,Strong,0.154,0.72,560,0.415,423.3383010432194,640,19.040056896592183,22.355727523887943,156.9115,407.87602499999986,257220.57625,292.9464875000001,86.0,0.4589789303079408,0.2755,0.9279999999999999,0.42,3.5105211267605356,2.77,8.0,8.780780780780672,33.16212499999998,52000.0,120400.0,25.67164179104483,40683.16690442231,2357.9457364341033,11.0,4.0,49129.34555905403,,3
19cd9638,7110,22.0,203,3520,179.0,31.6,340.0,1.3,1494.0,1.1185,,61000.0,Medium,0.20800000000000002,0.51,230,0.28300000000000003,210.0,460,24.36131179616409,32.277376714823504,156.9115,407.87602499999986,257220.57625,292.9464875000001,432.0,0.4589789303079408,0.25912882096070033,0.9079999999999999,0.26,3.5105211267605356,2.2025450000000264,2.0,8.780780780780672,33.16212499999998,45000.0,400.0,0.0,40683.16690442231,2357.9457364341033,11.0,0.0,46630.4554861658,,1
b81698ba,8490,20.6,353,4550,188.0,28.5,300.0,1.9,1558.0,1.11,,62233.24099722996,Medium,0.20199999999999999,0.74,240,0.265,180.0,930,21.324384581237545,30.94523474039604,156.9115,407.87602499999986,257220.57625,292.9464875000001,220.0,0.4589789303079408,0.258,0.8457892857142872,0.4623,3.5105211267605356,2.2025450000000264,5.7838827838827855,8.0,33.16212499999998,112000.0,4800.0,0.0,40683.16690442231,2357.9457364341033,10.0,0.0,50305.82095249265,,1
7a1da302,4480,18.7,220,2880,154.0,24.6,90.0,12.8,525.0,1.04,,63100.0,,0.191,0.69,200,0.3003919270833331,130.0,440,21.843182961093795,26.279737247729464,156.9115,407.87602499999986,257220.57625,292.9464875000001,69.0,0.4589789303079408,0.25912882096070033,0.86,0.3356,3.5105211267605356,2.2025450000000264,2.0,8.780780780780672,33.16212499999998,37000.0,67100.0,0.0,40683.16690442231,2357.9457364341033,18.0,7.0,23490.44164512888,,0
dc6aa8b6,11950,16.0,266,5990,239.0,26.2,190.0,1.7,1140.0,1.089,,3800.0,Very Strong,0.299,0.65,1090,0.157,1190.0,1080,40.55253838242174,44.70941904536697,156.9115,407.87602499999986,257220.57625,292.9464875000001,146.0,0.4589789303079408,0.21,0.8457892857142872,0.35600000000000004,3.5105211267605356,2.2025450000000264,5.7838827838827855,8.780780780780672,33.16212499999998,95000.0,235400.0,0.0,40683.16690442231,2357.9457364341033,18.025099075297234,0.0,85045.99963168614,,4
d49ea7ec,6470,18.3,369,3320,177.0,36.1,590.0,0.7,2993.0,1.1261752223634045,,92200.0,Weak,0.135,0.68,180,0.344,110.0,630,33.39045190714373,40.70298858955029,156.9115,407.87602499999986,257220.57625,292.9464875000001,5957.0,0.4589789303079408,0.2586,0.8457892857142872,0.38,3.5105211267605356,2.2025450000000264,4.0,8.780780780780672,33.16212499999998,48000.0,19600.0,100.0,40683.16690442231,2357.9457364341033,9.0,6.0,53254.011337948024,,5
5a1da72b,5950,17.0,317,2680,199.0,20.1,190.0,7.2,1570.0,1.0815,,80600.0,Strong,0.138,0.86,440,0.366,220.0,460,20.087846167241832,26.258918123511766,156.9115,407.87602499999986,257220.57625,292.9464875000001,290.0,0.4589789303079408,0.25912882096070033,0.8457892857142872,0.1759,3.5105211267605356,2.2025450000000264,9.0,19.0,33.16212499999998,36000.0,34500.0,0.0,40683.16690442231,2357.9457364341033,6.0,0.0,82644.62921594968,,3
4bf5b99f,5160,11.1,182,2980,135.0,31.1,170.0,2.8,740.0,1.0582,,56900.0,Weak,0.19899999999999998,0.71,190,0.282,130.0,230,31.433286948524927,37.27296907877492,156.9115,407.87602499999986,257220.57625,292.9464875000001,127.0,0.4589789303079408,0.27,0.914,0.5765,3.5105211267605356,2.2025450000000264,3.0,3.0,33.16212499999998,20000.0,27800.0,0.0,40683.16690442231,2357.9457364341033,18.025099075297234,9.332857142857154,49129.34555905403,,5
4c59bca9,4730,33.4,97,2150,183.0,29.0,130.0,2.7,656.0,1.06,,51800.0,Medium,0.16399999999999998,0.75,430,0.28800000000000003,280.0,430,20.201174957367165,26.717132735828717,156.9115,407.87602499999986,257220.57625,292.9464875000001,98.0,0.4589789303079408,0.25912882096070033,0.9079,0.34043012912482085,3.5105211267605356,2.2025450000000264,2.0,4.0,33.16212499999998,39800.0,1000.0,0.0,40683.16690442231,2357.9457364341033,14.0,0.0,49129.34555905403,,1
c4d34160,9090,30.1,453,4280,231.0,45.9,1060.0,0.2,3871.0,1.57,,36700.0,Medium,0.20199999999999999,0.67,210,0.193,190.0,2310,22.6064554780031,38.02457042200296,156.9115,407.87602499999986,257220.57625,292.9464875000001,6609.0,0.4589789303079408,0.1957,0.8457892857142872,0.28,3.5105211267605356,2.826,5.7838827838827855,6.0,33.16212499999998,262000.0,0.0,25.67164179104483,40683.16690442231,2357.9457364341033,15.0,3.0,49129.34555905403,,1
c85d4997,6510,20.5,52,4020,148.0,21.0,347.54914809960695,14.2,820.0,1.046,,62300.0,Weak,0.218,0.72,200,0.311,130.0,190,26.391335882711175,33.690016413880514,156.9115,407.87602499999986,257220.57625,292.9464875000001,89.0,0.4589789303079408,0.29100000000000004,0.8457892857142872,0.23,3.5105211267605356,2.2025450000000264,1.0,1.0,33.16212499999998,14000.0,18400.0,0.0,40683.16690442231,2357.9457364341033,12.0,8.0,35266.30907038052,,5
cc274e3a,1810,43.8,92,1080,124.0,36.9,347.54914809960695,2.9,233.0,1.03,,58500.0,Medium,0.17,0.67,260,0.295,170.0,400,22.5017017181177,28.978709252189155,156.9115,407.87602499999986,257220.57625,292.9464875000001,117.0,0.4589789303079408,0.25912882096070033,0.922,0.26,3.5105211267605356,2.2025450000000264,5.7838827838827855,2.0,33.16212499999998,48000.0,100.0,25.67164179104483,40683.16690442231,2357.9457364341033,177.0,0.0,49129.34555905403,,1
